num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
5,0.9640387407153304,0.9293706935999999,1.41358,0.1309,2.2687,50.448389468842315,2545.04,205.6,135.0,285.0,47.22033460279586,2229.7599999999998,509.2,423.0,561.0,sunny,dime,53.5 
5,0.9640034406577602,0.9293026335999999,1.41358,0.1309,2.2687,51.63487193748039,2666.16,212.2,142.0,294.0,48.84096641140509,2385.44,501.6,413.0,557.0,sunny,dime,53.5 
5,0.9640432674937365,0.9293794216,1.41358,0.1308,2.2687,50.653331578485535,2565.7599999999998,209.2,139.0,288.0,47.52683452535,2258.8,505.0,419.0,559.0,sunny,dime,53.5 
5,0.9640166554577778,0.929328112,1.4136000000000002,0.1309,2.2687,49.68057970676268,2468.16,209.8,139.0,285.0,45.46647116282503,2067.2,504.0,422.0,557.0,sunny,dime,53.5 
5,0.964012312369505,0.9293197384,1.41354,0.1308,2.2687,54.16124075388229,2933.44,210.6,135.0,295.0,49.48130960271767,2448.4,503.0,412.0,559.0,sunny,dime,53.5 
5,0.9640387407153304,0.9293706935999999,1.41358,0.1309,2.2687,55.87342838953056,3121.8399999999997,216.6,139.0,305.0,51.092073749261736,2610.4,497.0,402.0,553.0,sunny,dime,53.5 
5,0.9640034406577602,0.9293026335999999,1.41358,0.1309,2.2687,51.56898292578592,2659.3599999999997,206.8,135.0,290.0,48.647302083466045,2366.56,506.8,417.0,557.0,sunny,dime,53.5 
5,0.9640387407153304,0.9293706935999999,1.41358,0.1309,2.2687,49.09419517621203,2410.2400000000007,210.6,145.0,293.0,49.27636350219038,2428.16,503.2,413.0,551.0,sunny,dime,53.5 
5,0.9639857003088792,0.9292684304000002,1.41356,0.1309,2.2687,42.13976744121875,1775.7600000000002,211.2,157.0,283.0,46.206493050219684,2135.04,502.4,424.0,548.0,sunny,dime,53.5 
5,0.9640432674937365,0.9293794216,1.41358,0.1308,2.2687,44.238444818958094,1957.0400000000002,210.4,150.0,283.0,45.19911503558449,2042.9599999999998,503.2,424.0,549.0,sunny,dime,53.5 
5,0.9640034406577602,0.9293026335999999,1.41358,0.1309,2.2687,46.062566146492536,2121.76,214.8,157.0,293.0,49.002040773829,2401.2,499.0,413.0,550.0,sunny,dime,53.5 
5,0.9640034406577602,0.9293026335999999,1.41358,0.1309,2.2687,45.075935930383075,2031.8400000000001,219.6,165.0,297.0,48.78360380291722,2379.8399999999997,494.4,411.0,546.0,sunny,dime,53.5 
5,0.9640166554577778,0.929328112,1.4136000000000002,0.1309,2.2687,43.6696691079747,1907.0399999999997,211.6,153.0,285.0,45.735762812048954,2091.7599999999998,502.2,422.0,546.0,sunny,dime,53.5 
