num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
7,0.7793000517209305,0.607308570612245,1.0595714285714286,0.2182,2.5305,44.71953415112771,1999.8367346938776,144.85714285714286,114.0,246.0,47.51970590165297,2258.122448979592,533.8571428571429,490.0,589.0,dark,dime,7 
5,0.7753517281853443,0.6011703023999999,1.3263399999999999,0.2182,2.5305,44.97288071716109,2022.56,157.2,121.0,243.0,40.26114752462974,1620.9599999999998,510.8,483.0,590.0,dark,dime,7 
5,0.7753206675950282,0.6011221376000002,1.32632,0.2182,2.5304,45.07504853020127,2031.7599999999998,154.2,123.0,242.0,40.46529377132952,1637.4399999999998,512.6,484.0,592.0,dark,dime,7 
6,0.7401538340477306,0.5478276980555555,1.2288833333333333,0.2182,2.5305,45.80180733940043,2097.805555555555,144.83333333333334,116.0,242.0,34.860436027106715,1215.25,514.5,492.0,591.0,dark,dime,7 
4,0.8210813308527969,0.6741745518750002,1.450625,0.2181,2.5304,50.24440267333268,2524.5,159.0,119.0,242.0,44.31986010808247,1964.25,515.5,487.0,592.0,dark,dime,7 
6,0.7401833070635648,0.5478713280555555,1.2288833333333333,0.2181,2.5305,44.52246623896749,1982.25,146.5,117.0,240.0,37.664085457280564,1418.5833333333333,511.5,487.0,594.0,dark,dime,7 
6,0.7401765930430987,0.5478613888888889,1.2288666666666666,0.2181,2.5305,45.68247901426638,2086.8888888888882,144.33333333333334,114.0,240.0,36.69127961791467,1346.25,515.5,489.0,594.0,dark,dime,7 
6,0.7401765930430987,0.5478613888888889,1.2288666666666666,0.2181,2.5305,43.900455578501685,1927.25,146.5,118.0,239.0,37.08998067762595,1375.6666666666667,513.0,491.0,595.0,dark,dime,7 
5,0.7975597973819895,0.6361016304,1.1692399999999998,0.2181,2.5305,46.2834743726095,2142.1600000000003,150.8,117.0,238.0,39.892856503389176,1591.44,516.6,491.0,596.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,47.49934210070704,2256.1875,159.25,115.0,236.0,45.01388674620311,2026.25,521.5,487.0,598.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,51.73671327017208,2676.6875,161.75,115.0,245.0,41.45102531904368,1718.1875,519.25,487.0,589.0,dark,dime,7 
3,0.9467737744572354,0.8963805800000001,1.4252,0.2181,2.5305,50.78057371344544,2578.6666666666665,174.0,120.0,242.0,47.37791327893902,2244.6666666666665,525.0,491.0,592.0,dark,dime,7 
3,0.9467737744572354,0.8963805800000001,1.4252,0.2181,2.5305,50.78057371344544,2578.6666666666665,174.0,120.0,242.0,47.37791327893902,2244.6666666666665,525.0,491.0,592.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,51.504854140168185,2652.75,155.5,112.0,238.0,45.033320996790806,2028.0,518.0,492.0,596.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,53.49006917176309,2861.1875,159.75,113.0,244.0,42.41093608964556,1798.6875,518.25,485.0,590.0,dark,dime,7 
5,0.9248347670800445,0.8553193464000002,1.78006,0.2182,2.8795,54.046646519465014,2921.04,160.6,114.0,252.0,46.969777517037485,2206.16,496.8,452.0,582.0,dark,dime,7 
5,1.4221968597912178,2.0226439080000005,2.164,0.2182,4.581,60.04531622033478,3605.4399999999996,159.4,113.0,269.0,39.06200199682551,1525.8400000000001,487.4,460.0,565.0,dark,dime,7 
5,0.9305805039866245,0.8659800744000001,1.73644,0.2182,2.8795,58.053768180885555,3370.2400000000002,154.4,112.0,264.0,31.251239975399375,976.64,509.6,488.0,570.0,dark,dime,7 
5,1.1682581331195603,1.3648270656000001,1.28272,0.2182,2.8795,43.56145084819834,1897.6,183.0,113.0,242.0,34.33365695640358,1178.8,539.0,492.0,592.0,dark,dime,7 
5,1.0802617101425007,1.1669653624000003,1.5095399999999999,0.2181,2.8795,48.30155277007148,2333.04,166.6,117.0,247.0,38.78350164696324,1504.16,523.8,487.0,588.0,dark,dime,7 
3,0.9467312759642457,0.8963001088888888,1.4252333333333331,0.2182,2.5305,51.188106257432715,2620.222222222222,172.66666666666666,113.0,238.0,51.62040940041707,2664.6666666666665,522.0,485.0,595.0,dark,dime,7 
3,0.9467312759642457,0.8963001088888888,1.4252333333333331,0.2182,2.5305,51.188106257432715,2620.222222222222,172.66666666666666,113.0,238.0,51.62040940041707,2664.6666666666665,522.0,485.0,595.0,dark,dime,7 
3,0.9467312759642457,0.8963001088888888,1.4252333333333331,0.2182,2.5305,51.188106257432715,2620.222222222222,172.66666666666666,113.0,238.0,51.62040940041707,2664.6666666666665,522.0,485.0,595.0,dark,dime,7 
5,0.9031695154288589,0.8157151735999999,0.9947800000000001,0.2182,2.5305,43.52194848579277,1894.1599999999999,188.2,118.0,249.0,37.654216231386364,1417.8400000000001,528.4,485.0,585.0,dark,dime,7 
5,1.1817116287825893,1.3964423736,1.26522,0.2181,2.8795,37.20537595563308,1384.2400000000002,178.6,117.0,233.0,42.437719071599496,1800.9599999999998,541.8,479.0,600.0,dark,dime,7 
5,0.847618526461049,0.7184571663999999,1.2390599999999998,0.2182,2.5305,49.670917044081236,2467.2,167.0,114.0,246.0,42.33391075721684,1792.1599999999999,516.8,479.0,588.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,28.5,812.25,200.5,172.0,229.0,62.5,3906.25,542.5,480.0,605.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,45.477329517024195,2068.1875,156.75,115.0,224.0,53.91370419475924,2906.6875,516.75,481.0,610.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,49.26205436235887,2426.75,161.5,115.0,231.0,54.77910185463066,3000.75,508.5,469.0,603.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,49.907414278842374,2490.75,161.5,116.0,236.0,50.28605671555486,2528.6875,511.25,475.0,598.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,34.0,1156.0,207.0,173.0,241.0,56.5,3192.25,536.5,480.0,593.0,dark,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,31.47838764754143,990.888888888889,198.66666666666666,173.0,243.0,45.88633299312068,2105.5555555555557,541.6666666666666,480.0,590.0,dark,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,31.47838764754143,990.888888888889,198.66666666666666,173.0,243.0,45.88633299312068,2105.5555555555557,541.6666666666666,480.0,590.0,dark,dime,7 
6,0.9861609786608541,0.9725134758333334,1.51245,0.2181,2.8795,48.015333199116945,2305.472222222222,156.83333333333334,114.0,243.0,40.219191107397144,1617.5833333333333,518.5,477.0,590.0,dark,dime,7 
3,1.0513150695940563,1.1052633755555554,1.0471333333333332,0.2182,2.5305,28.94055209486432,837.5555555555555,197.33333333333334,173.0,238.0,47.81445620544295,2286.222222222222,542.6666666666666,480.0,596.0,dark,dime,7 
3,1.0513150695940563,1.1052633755555554,1.0471333333333332,0.2182,2.5305,28.94055209486432,837.5555555555555,197.33333333333334,173.0,238.0,47.81445620544295,2286.222222222222,542.6666666666666,480.0,596.0,dark,dime,7 
5,0.8908843179672656,0.793674868,1.0122,0.2182,2.5305,35.74017347467693,1277.3600000000001,169.8,114.0,227.0,47.97666099261181,2301.7599999999998,540.8,482.0,607.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,46.55306112384018,2167.1875,158.25,116.0,230.0,48.71088174114691,2372.75,521.5,482.0,604.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.25626038833372,2328.6666666666665,173.0,116.0,234.0,50.0199960015992,2502.0,531.0,483.0,600.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.25626038833372,2328.6666666666665,173.0,116.0,234.0,50.0199960015992,2502.0,531.0,483.0,600.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,46.99645376692444,2208.6666666666665,171.0,115.0,230.0,51.40038910358559,2642.0,533.0,484.0,604.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,46.99645376692444,2208.6666666666665,171.0,115.0,230.0,51.40038910358559,2642.0,533.0,484.0,604.0,dark,dime,7 
2,1.15615,1.3366828225,1.37435,0.2182,2.5305,29.0,841.0,200.0,171.0,229.0,60.5,3660.25,543.5,483.0,604.0,dark,dime,7 
2,1.15615,1.3366828225,1.37435,0.2182,2.5305,27.0,729.0,201.0,174.0,228.0,63.0,3969.0,542.0,479.0,605.0,dark,dime,7 
3,0.9467737744572354,0.8963805800000001,1.4252,0.2181,2.5305,46.99645376692444,2208.6666666666665,173.0,114.0,229.0,56.66470584842816,3210.888888888889,524.3333333333334,477.0,604.0,dark,dime,7 
3,0.9467737744572354,0.8963805800000001,1.4252,0.2181,2.5305,46.99645376692444,2208.6666666666665,173.0,114.0,229.0,56.66470584842816,3210.888888888889,524.3333333333334,477.0,604.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,46.51007955271631,2163.1875,156.25,114.0,226.0,51.58003489723519,2660.5,519.0,482.0,608.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,47.14008379288268,2222.1875,157.25,113.0,227.0,49.78641883084181,2478.6875,522.75,480.0,607.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,44.11349000022555,1946.0,168.0,113.0,221.0,55.86491644036433,3120.888888888889,535.6666666666666,483.0,613.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,44.11349000022555,1946.0,168.0,113.0,221.0,55.86491644036433,3120.888888888889,535.6666666666666,483.0,613.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,44.11349000022555,1946.0,168.0,113.0,221.0,55.86491644036433,3120.888888888889,535.6666666666666,483.0,613.0,dark,dime,7 
6,1.070347497570558,1.1456437655555558,1.3234333333333332,0.2182,2.8795,38.57748335781149,1488.2222222222224,162.66666666666666,112.0,225.0,44.65298297861957,1993.8888888888887,534.3333333333334,480.0,608.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,22.0,484.0,196.0,174.0,218.0,69.5,4830.25,546.5,477.0,616.0,dark,dime,7 
4,1.0338236031838315,1.0687912425000001,1.7887499999999998,0.2181,2.8794,46.4811789867684,2160.5,159.0,114.0,229.0,49.85980344927164,2486.0,521.0,479.0,605.0,dark,dime,7 
4,1.0338499779344197,1.0688457768750002,1.788775,0.2181,2.8795,44.90197657119339,2016.1875,157.75,114.0,225.0,50.813384063650005,2582.0,523.0,481.0,609.0,dark,dime,7 
4,1.0338119969317439,1.068767245,1.7888,0.2182,2.8795,44.58348909630111,1987.6875,156.75,114.0,224.0,51.236583609760714,2625.1875,523.25,481.0,610.0,dark,dime,7 
5,1.0801982199578002,1.1668281944000003,1.50956,0.2182,2.8795,39.40862849681527,1553.0400000000002,159.4,119.0,227.0,48.77950389251616,2379.4399999999996,529.6,480.0,607.0,dark,dime,7 
5,1.0802378008568299,1.1669137064000001,1.50956,0.2182,2.8795,43.17684564671208,1864.2400000000002,159.4,116.0,233.0,45.0111097397076,2026.0,529.0,481.0,600.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.65068230650921,2366.8888888888887,176.66666666666666,119.0,238.0,49.88208317845419,2488.222222222222,527.3333333333334,479.0,596.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.65068230650921,2366.8888888888887,176.66666666666666,119.0,238.0,49.88208317845419,2488.222222222222,527.3333333333334,479.0,596.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.65068230650921,2366.8888888888887,176.66666666666666,119.0,238.0,49.88208317845419,2488.222222222222,527.3333333333334,479.0,596.0,dark,dime,7 
5,0.9305805039866245,0.8659800744000001,1.73644,0.2182,2.8795,50.34123558277051,2534.24,152.6,114.0,242.0,41.87887295522649,1753.8400000000006,510.6,476.0,592.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,51.04464277037851,2605.555555555555,175.66666666666666,114.0,239.0,49.492984912566705,2449.5555555555557,527.3333333333334,478.0,595.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,51.04464277037851,2605.555555555555,175.66666666666666,114.0,239.0,49.492984912566705,2449.5555555555557,527.3333333333334,478.0,595.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,51.09685791600976,2610.888888888889,175.66666666666666,115.0,240.0,47.91891299082464,2296.222222222222,527.3333333333334,480.0,593.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,51.09685791600976,2610.888888888889,175.66666666666666,115.0,240.0,47.91891299082464,2296.222222222222,527.3333333333334,480.0,593.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.28618389928485,2331.555555555555,174.66666666666666,118.0,236.0,49.53337819648035,2453.555555555555,528.3333333333334,482.0,597.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,48.28618389928485,2331.555555555555,174.66666666666666,118.0,236.0,49.53337819648035,2453.555555555555,528.3333333333334,482.0,597.0,dark,dime,7 
3,1.1808968973717486,1.3945174822222224,1.8760333333333332,0.2182,2.8795,49.82636517614612,2482.6666666666665,173.0,113.0,235.0,49.61854492022111,2462.0,530.0,481.0,598.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,27.5,756.25,204.5,177.0,232.0,63.0,3969.0,539.0,476.0,602.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,29.5,870.25,202.5,173.0,232.0,61.0,3721.0,541.0,480.0,602.0,dark,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,48.92021565774215,2393.1875,157.25,113.0,231.0,50.363677387577646,2536.5,516.0,481.0,603.0,dark,dime,7 
4,0.8210766814829172,0.674166916875,1.450675,0.2182,2.5305,48.01757490752735,2305.6875,161.25,118.0,234.0,51.055729355283916,2606.6875,511.75,477.0,600.0,dark,dime,7 
2,1.15615,1.3366828225,1.37435,0.2182,2.5305,33.5,1122.25,206.5,173.0,240.0,57.0,3249.0,537.0,480.0,594.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,52.677214133711445,2774.8888888888887,177.66666666666666,114.0,243.0,48.00925836637022,2304.888888888889,525.6666666666666,477.0,591.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,52.677214133711445,2774.8888888888887,177.66666666666666,114.0,243.0,48.00925836637022,2304.888888888889,525.6666666666666,477.0,591.0,dark,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,52.677214133711445,2774.8888888888887,177.66666666666666,114.0,243.0,48.00925836637022,2304.888888888889,525.6666666666666,477.0,591.0,dark,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,53.080651423617205,2817.555555555555,177.33333333333334,113.0,243.0,47.89572005931219,2294.0,526.0,477.0,591.0,dark,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,30.5,930.25,210.5,180.0,241.0,60.5,3660.25,532.5,472.0,593.0,dark,dime,7 
