num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
3,1.0900286734251028,1.1881625088888892,1.7596333333333334,0.2181,2.5304,16.49915822768611,272.22222222222223,199.66666666666666,188.0,223.0,67.88225099390856,4608.0,515.0,467.0,611.0,sunny,dime,7 
6,1.0207048764075843,1.0418384447222222,1.4833833333333333,0.2181,2.8795,53.79177962807658,2893.555555555555,170.66666666666666,117.0,241.0,52.11019307412152,2715.472222222222,522.8333333333334,473.0,595.0,sunny,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,33.0,1089.0,194.0,161.0,227.0,59.0,3481.0,549.0,490.0,608.0,sunny,dime,7 
5,1.0645524599567653,1.1332719400000002,1.2303000000000002,0.2181,2.5305,35.52801711325866,1262.2400000000002,161.6,127.0,224.0,49.962385851758526,2496.2400000000002,538.6,482.0,611.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,32.0,1024.0,195.0,163.0,227.0,64.5,4160.25,543.5,479.0,608.0,sunny,dime,7 
5,0.9998323351442481,0.9996646983999999,2.18146,0.2182,2.8795,41.54708172663876,1726.1600000000003,150.2,121.0,228.0,44.690043633901276,1997.2,527.0,480.0,607.0,sunny,dime,7 
5,0.9981195687892308,0.9962426736000001,2.17272,0.2181,2.8795,39.59595938981653,1567.84,155.4,126.0,230.0,45.40308359572067,2061.4399999999996,521.4,476.0,605.0,sunny,dime,7 
4,1.043633558774343,1.089171005,1.996,0.2181,2.8795,41.00304866714181,1681.25,161.5,120.0,226.0,53.82610890636625,2897.25,521.5,472.0,609.0,sunny,dime,7 
4,1.0435951498905118,1.089090836875,1.996025,0.2182,2.8795,39.23885192000398,1539.6875,156.75,116.0,219.0,54.99715901753471,3024.6875,526.25,479.0,617.0,sunny,dime,7 
6,1.152768214270906,1.3288745558333332,1.44705,0.2182,2.8795,33.68852425777459,1134.9166666666667,161.5,113.0,219.0,51.457641695756806,2647.888888888889,542.6666666666666,476.0,616.0,sunny,dime,7 
5,1.04646753298896,1.0950942976,1.56192,0.2182,2.5305,42.828028205837356,1834.2400000000002,160.6,118.0,234.0,50.18924187512698,2518.96,526.2,483.0,601.0,sunny,dime,7 
4,0.9649186478014611,0.9310679968750002,1.8869250000000002,0.2182,2.5304,40.425858061394315,1634.25,168.5,136.0,235.0,55.910642993977454,3126.0,504.0,466.0,600.0,sunny,dime,7 
